 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jun/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210280 Carolina";82;83;80547,20;64450,37;-;-;16096,83;-;-;970,45;982,28;317;3,9;1;1,22
"210290 Carutapera";68;68;54435,95;39548,25;-;-;14887,70;-;-;800,53;800,53;255;3,8;3;4,41
"210300 Caxias";596;601;686799,71;539233,48;-;-;147566,23;-;-;1142,76;1152,35;3417;5,7;66;11,07
"210310 Cedral";24;24;43878,33;34144,55;-;-;9733,78;-;-;1828,26;1828,26;212;8,8;4;16,67
"210312 Central do Maranhão";15;15;13603,39;11274,86;-;-;2328,53;-;-;906,89;906,89;90;6,0;2;13,33
"210315 Centro do Guilherme";33;33;28687,01;21399,94;-;-;7287,07;-;-;869,30;869,30;65;2,0;2;6,06
"210317 Centro Novo do Maranhão";49;49;51234,10;39481,85;-;-;11752,25;-;-;1045,59;1045,59;112;2,3;4;8,16
"210320 Chapadinha";79;85;188378,67;158613,81;-;-;29764,86;-;-;2216,22;2384,54;701;8,9;17;21,52
"210325 Cidelândia";110;110;67018,03;53819,18;-;-;13198,85;-;-;609,25;609,25;287;2,6;3;2,73
"210330 Codó";504;507;560783,39;438403,23;-;-;122380,16;-;-;1106,08;1112,67;2235;4,4;67;13,29
"210340 Coelho Neto";160;164;278579,90;225567,00;-;-;53012,90;-;-;1698,66;1741,12;949;5,9;27;16,88
"210350 Colinas";209;210;207570,98;165261,64;-;-;42309,34;-;-;988,43;993,16;714;3,4;20;9,57
"210355 Conceição do Lago-Açu";30;31;39704,85;31417,35;-;-;8287,50;-;-;1280,80;1323,50;168;5,6;3;10,00
"210360 Coroatá";110;112;139315,68;105526,36;-;-;33789,32;-;-;1243,89;1266,51;482;4,4;3;2,73
"210370 Cururupu";109;111;118826,15;93504,47;-;-;25321,68;-;-;1070,51;1090,15;556;5,1;8;7,34
"210375 Davinópolis";35;35;28371,20;20702,22;-;-;7668,98;-;-;810,61;810,61;117;3,3;-;-
"210380 Dom Pedro";39;40;54387,67;43789,89;-;-;10597,78;-;-;1359,69;1394,56;240;6,2;8;20,51
"210390 Duque Bacelar";27;27;39619,25;31457,19;-;-;8162,06;-;-;1467,38;1467,38;133;4,9;3;11,11
"210400 Esperantinópolis";24;24;97140,07;81089,47;-;-;16050,60;-;-;4047,50;4047,50;154;6,4;5;20,83
"210405 Estreito";45;45;64058,97;50186,97;-;-;13872,00;-;-;1423,53;1423,53;148;3,3;6;13,33
"210407 Feira Nova do Maranhão";59;59;22196,95;18040,95;-;-;4156,00;-;-;376,22;376,22;164;2,8;-;-
