 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jun/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"220157 Belém do Piauí";2;2;9530,76;8374,83;-;-;1155,93;-;-;4765,38;4765,38;5;2,5;-;-
"220160 Beneditinos";51;51;47955,65;39072,56;-;-;8883,09;-;-;940,31;940,31;230;4,5;2;3,92
"220170 Bertolínia";2;2;3488,30;3245,35;-;-;242,95;-;-;1744,15;1744,15;37;18,5;1;50,00
"220173 Betânia do Piauí";20;20;22304,95;16683,41;-;-;5621,54;-;-;1115,25;1115,25;67;3,4;-;-
"220177 Boa Hora";8;9;6406,73;5372,90;-;-;1033,83;-;-;711,86;800,84;56;7,0;1;12,50
"220180 Bocaina";1;1;8535,94;7460,35;-;-;1075,59;-;-;8535,94;8535,94;9;9,0;-;-
"220190 Bom Jesus";106;106;80789,48;61748,46;-;-;19041,02;-;-;762,16;762,16;367;3,5;3;2,83
"220191 Bom Princípio do Piauí";16;16;10044,59;7266,42;-;-;2778,17;-;-;627,79;627,79;72;4,5;2;12,50
"220192 Bonfim do Piauí";35;35;22913,73;20432,30;-;-;2481,43;-;-;654,68;654,68;108;3,1;-;-
"220194 Boqueirão do Piauí";14;14;10545,06;8291,79;-;-;2253,27;-;-;753,22;753,22;105;7,5;1;7,14
"220196 Brasileira";14;14;31683,48;27876,79;-;-;3806,69;-;-;2263,11;2263,11;69;4,9;-;-
"220198 Brejo do Piauí";4;5;3935,11;3392,80;-;-;542,31;-;-;787,02;983,78;43;10,8;-;-
"220200 Buriti dos Lopes";72;72;76036,45;55953,73;-;-;20082,72;-;-;1056,06;1056,06;375;5,2;4;5,56
"220202 Buriti dos Montes";4;4;2621,54;2063,38;-;-;558,16;-;-;655,38;655,38;26;6,5;-;-
"220205 Cabeceiras do Piauí";16;16;15887,63;12230,33;-;-;3657,30;-;-;992,98;992,98;85;5,3;2;12,50
"220207 Cajazeiras do Piauí";6;6;4821,31;3957,67;-;-;863,64;-;-;803,55;803,55;47;7,8;-;-
"220208 Cajueiro da Praia";27;27;16630,54;11637,78;-;-;4992,76;-;-;615,95;615,95;88;3,3;1;3,70
"220209 Caldeirão Grande do Piauí";10;10;10438,01;9007,30;-;-;1430,71;-;-;1043,80;1043,80;68;6,8;-;-
"220210 Campinas do Piauí";13;13;12391,78;9307,39;-;-;3084,39;-;-;953,21;953,21;85;6,5;1;7,69
"220211 Campo Alegre do Fidalgo";6;6;5474,88;4611,33;-;-;863,55;-;-;912,48;912,48;29;4,8;1;16,67
"220213 Campo Grande do Piauí";1;1;3206,65;2625,27;-;-;581,38;-;-;3206,65;3206,65;3;3,0;-;-
"220217 Campo Largo do Piauí";26;26;19960,31;15376,68;-;-;4583,63;-;-;767,70;767,70;85;3,3;1;3,85
"220220 Campo Maior";175;175;280804,75;230928,82;-;-;49875,93;-;-;1604,60;1604,60;939;5,4;5;2,86
"220225 Canavieira";2;2;1060,58;884,59;-;-;175,99;-;-;530,29;530,29;4;2,0;-;-
"220230 Canto do Buriti";53;53;26627,93;21063,68;-;-;5564,25;-;-;502,41;502,41;200;3,8;-;-
"220240 Capitão de Campos";16;16;19294,61;16328,73;-;-;2965,88;-;-;1205,91;1205,91;101;6,3;2;12,50
"220245 Capitão Gervásio Oliveira";4;4;3342,20;2811,20;-;-;531,00;-;-;835,55;835,55;32;8,0;-;-
"220250 Caracol";49;49;38490,38;31314,69;-;-;7175,69;-;-;785,52;785,52;176;3,6;-;-
"220253 Caraúbas do Piauí";19;19;13050,95;8723,88;-;-;4327,07;-;-;686,89;686,89;91;4,8;-;-
"220255 Caridade do Piauí";15;15;7136,41;6136,54;-;-;999,87;-;-;475,76;475,76;44;2,9;-;-
"220260 Castelo do Piauí";57;57;71696,72;57187,33;-;-;14509,39;-;-;1257,84;1257,84;362;6,4;-;-
"220265 Caxingó";16;16;13060,20;8833,74;-;-;4226,46;-;-;816,26;816,26;38;2,4;-;-
"220270 Cocal";60;60;61775,65;44716,75;-;-;17058,90;-;-;1029,59;1029,59;219;3,7;3;5,00
"220271 Cocal de Telha";7;7;21303,15;19008,75;-;-;2294,40;-;-;3043,31;3043,31;49;7,0;-;-
"220272 Cocal dos Alves";8;8;8225,72;6689,19;-;-;1536,53;-;-;1028,21;1028,21;79;9,9;-;-
"220273 Coivaras";11;11;8005,96;6444,03;-;-;1561,93;-;-;727,81;727,81;64;5,8;1;9,09
"220275 Colônia do Gurguéia";5;5;17614,88;12425,82;-;-;5189,06;-;-;3522,98;3522,98;51;10,2;-;-
"220277 Colônia do Piauí";20;20;46701,98;37564,87;-;-;9137,11;-;-;2335,10;2335,10;139;7,0;1;5,00
"220280 Conceição do Canindé";4;4;2796,34;1874,88;-;-;921,46;-;-;699,09;699,09;8;2,0;-;-
"220285 Coronel José Dias";33;33;15042,06;12814,88;-;-;2227,18;-;-;455,82;455,82;103;3,1;-;-
"220290 Corrente";71;71;55172,30;41266,59;-;-;13905,71;-;-;777,07;777,07;302;4,3;-;-
"220300 Cristalândia do Piauí";7;7;3586,61;2331,71;-;-;1254,90;-;-;512,37;512,37;19;2,7;-;-
"220310 Cristino Castro";89;89;61075,85;51189,30;-;-;9886,55;-;-;686,25;686,25;328;3,7;-;-
"220320 Curimatá";37;37;26959,91;22060,63;-;-;4899,28;-;-;728,65;728,65;192;5,2;1;2,70
"220323 Currais";17;18;10430,02;8284,46;-;-;2145,56;-;-;579,45;613,53;76;4,5;1;5,88
"220327 Curral Novo do Piauí";19;19;10998,55;8834,39;-;-;2164,16;-;-;578,87;578,87;41;2,2;-;-
"220325 Curralinhos";15;15;18306,16;14326,34;-;-;3979,82;-;-;1220,41;1220,41;75;5,0;-;-
"220330 Demerval Lobão";66;66;96555,07;75943,53;-;-;20611,54;-;-;1462,96;1462,96;427;6,5;3;4,55
"220335 Dirceu Arcoverde";31;31;18232,35;14749,05;-;-;3483,30;-;-;588,14;588,14;81;2,6;1;3,23
"220340 Dom Expedito Lopes";2;2;3739,96;3025,23;-;-;714,73;-;-;1869,98;1869,98;19;9,5;-;-
"220345 Dom Inocêncio";26;26;14139,89;11622,40;-;-;2517,49;-;-;543,84;543,84;84;3,2;-;-
"220342 Domingos Mourão";6;6;23875,62;20080,22;-;-;3795,40;-;-;3979,27;3979,27;64;10,7;1;16,67
"220350 Elesbão Veloso";62;62;66163,63;53323,20;-;-;12840,43;-;-;1067,16;1067,16;277;4,5;4;6,45
"220360 Eliseu Martins";5;5;11524,53;7196,23;-;-;4328,30;-;-;2304,91;2304,91;40;8,0;-;-
"220370 Esperantina";165;165;127737,14;98566,42;-;-;29170,72;-;-;774,16;774,16;482;2,9;10;6,06
"220375 Fartura do Piauí";20;20;18504,14;16137,74;-;-;2366,40;-;-;925,21;925,21;60;3,0;1;5,00
"220380 Flores do Piauí";3;3;2325,93;1955,29;-;-;370,64;-;-;775,31;775,31;20;6,7;-;-
"220385 Floresta do Piauí";1;1;507,60;276,60;-;-;231,00;-;-;507,60;507,60;1;1,0;-;-
"220390 Floriano";24;25;63024,24;50490,71;-;-;12533,53;-;-;2520,97;2626,01;253;10,5;2;8,33
"220400 Francinópolis";9;9;9326,58;7316,93;-;-;2009,65;-;-;1036,29;1036,29;89;9,9;-;-
"220410 Francisco Ayres";3;3;7703,17;6114,58;-;-;1588,59;-;-;2567,72;2567,72;30;10,0;1;33,33
"220420 Francisco Santos";1;1;719,46;454,12;-;-;265,34;-;-;719,46;719,46;1;1,0;-;-
"220430 Fronteiras";171;172;106809,15;93273,54;-;-;13535,61;-;-;620,98;624,61;583;3,4;-;-
"220435 Geminiano";1;2;3171,45;2834,40;-;-;337,05;-;-;1585,72;3171,45;33;33,0;-;-
"220440 Gilbués";25;25;16748,08;12282,29;-;-;4465,79;-;-;669,92;669,92;60;2,4;2;8,00
"220450 Guadalupe";19;19;41045,98;34477,36;-;-;6568,62;-;-;2160,31;2160,31;101;5,3;-;-
"220455 Guaribas";29;29;14881,80;11547,76;-;-;3334,04;-;-;513,17;513,17;84;2,9;1;3,45
"220460 Hugo Napoleão";3;4;2502,02;2076,94;-;-;425,08;-;-;625,50;834,01;34;11,3;1;33,33
"220465 Ilha Grande";31;31;16791,18;12367,50;-;-;4423,68;-;-;541,65;541,65;176;5,7;1;3,23
"220470 Inhuma";21;22;16544,73;12437,52;-;-;4107,21;-;-;752,03;787,84;95;4,5;1;4,76
"220480 Ipiranga do Piauí";18;18;46976,47;38753,62;-;-;8222,85;-;-;2609,80;2609,80;111;6,2;1;5,56
"220490 Isaías Coelho";14;14;15979,72;13374,74;-;-;2604,98;-;-;1141,41;1141,41;79;5,6;1;7,14
"220500 Itainópolis";4;4;5528,43;4389,38;-;-;1139,05;-;-;1382,11;1382,11;22;5,5;-;-
"220510 Itaueira";24;25;23619,99;19241,64;-;-;4378,35;-;-;944,80;984,17;233;9,7;-;-
"220515 Jacobina do Piauí";10;10;5683,29;4721,17;-;-;962,12;-;-;568,33;568,33;86;8,6;-;-
"220520 Jaicós";15;15;27304,08;22773,83;-;-;4530,25;-;-;1820,27;1820,27;96;6,4;1;6,67
"220525 Jardim do Mulato";16;16;21881,62;15607,66;-;-;6273,96;-;-;1367,60;1367,60;59;3,7;-;-
"220527 Jatobá do Piauí";12;12;13481,34;11004,77;-;-;2476,57;-;-;1123,44;1123,44;55;4,6;-;-
"220530 Jerumenha";1;1;6981,50;6364,29;-;-;617,21;-;-;6981,50;6981,50;15;15,0;-;-
"220535 João Costa";4;4;11350,47;10324,42;-;-;1026,05;-;-;2837,62;2837,62;16;4,0;-;-
"220540 Joaquim Pires";34;34;23660,61;16662,52;-;-;6998,09;-;-;695,90;695,90;125;3,7;2;5,88
"220545 Joca Marques";11;11;5588,68;4012,63;-;-;1576,05;-;-;508,06;508,06;57;5,2;-;-
"220550 José de Freitas";168;169;170008,16;134294,38;-;-;35713,78;-;-;1005,97;1011,95;850;5,1;4;2,38
"220551 Juazeiro do Piauí";10;10;5072,37;3811,17;-;-;1261,20;-;-;507,24;507,24;25;2,5;-;-
"220552 Júlio Borges";6;6;6995,28;5839,07;-;-;1156,21;-;-;1165,88;1165,88;14;2,3;-;-
"220553 Jurema";14;14;10267,14;7381,88;-;-;2885,26;-;-;733,37;733,37;41;2,9;-;-
"220555 Lagoa Alegre";33;33;104950,71;85918,11;-;-;19032,60;-;-;3180,32;3180,32;208;6,3;5;15,15
"220557 Lagoa de São Francisco";17;17;29200,10;24757,63;-;-;4442,47;-;-;1717,65;1717,65;153;9,0;-;-
"220556 Lagoa do Barro do Piauí";6;6;13076,64;9181,61;-;-;3895,03;-;-;2179,44;2179,44;67;11,2;-;-
"220558 Lagoa do Piauí";24;25;17239,55;13015,31;-;-;4224,24;-;-;689,58;718,31;116;4,8;-;-
"220559 Lagoa do Sítio";20;20;10692,29;7805,29;-;-;2887,00;-;-;534,61;534,61;64;3,2;-;-
"220554 Lagoinha do Piauí";9;9;6069,05;4956,70;-;-;1112,35;-;-;674,34;674,34;31;3,4;-;-
"220570 Luís Correia";102;103;95554,63;72416,80;-;-;23137,83;-;-;927,71;936,81;497;4,9;3;2,94
"220580 Luzilândia";114;114;168978,42;137237,68;-;-;31740,74;-;-;1482,27;1482,27;566;5,0;6;5,26
"220585 Madeiro";24;24;36493,57;29168,48;-;-;7325,09;-;-;1520,57;1520,57;111;4,6;2;8,33
"220590 Manoel Emídio";9;9;13814,11;12087,03;-;-;1727,08;-;-;1534,90;1534,90;84;9,3;-;-
"220595 Marcolândia";2;2;3896,94;2895,20;-;-;1001,74;-;-;1948,47;1948,47;12;6,0;-;-
"220605 Massapê do Piauí";7;7;5969,56;5050,00;-;-;919,56;-;-;852,79;852,79;51;7,3;1;14,29
"220610 Matias Olímpio";25;26;16608,85;12552,79;-;-;4056,06;-;-;638,80;664,35;120;4,8;1;4,00
"220620 Miguel Alves";157;158;164002,52;136817,31;-;-;27185,21;-;-;1037,99;1044,60;827;5,3;6;3,82
"220630 Miguel Leão";3;3;5243,17;3637,70;-;-;1605,47;-;-;1747,72;1747,72;7;2,3;-;-
"220635 Milton Brandão";17;17;6537,25;4783,15;-;-;1754,10;-;-;384,54;384,54;66;3,9;-;-
"220640 Monsenhor Gil";33;33;46385,16;37191,07;-;-;9194,09;-;-;1405,61;1405,61;165;5,0;3;9,09
"220650 Monsenhor Hipólito";33;33;13268,01;11285,92;-;-;1982,09;-;-;402,06;402,06;91;2,8;1;3,03
"220660 Monte Alegre do Piauí";13;13;13030,75;10038,65;-;-;2992,10;-;-;1002,37;1002,37;37;2,8;-;-
"220665 Morro Cabeça no Tempo";15;15;8178,04;6178,81;-;-;1999,23;-;-;545,20;545,20;34;2,3;-;-
"220667 Morro do Chapéu do Piauí";20;20;20427,67;16070,29;-;-;4357,38;-;-;1021,38;1021,38;44;2,2;1;5,00
"220669 Murici dos Portelas";17;17;27657,43;18431,96;-;-;9225,47;-;-;1626,91;1626,91;63;3,7;2;11,76
"220670 Nazaré do Piauí";7;7;17885,32;15115,89;-;-;2769,43;-;-;2555,05;2555,05;28;4,0;1;14,29
"220672 Nazária";39;39;31318,78;23643,11;-;-;7675,67;-;-;803,05;803,05;194;5,0;1;2,56
"220675 Nossa Senhora de Nazaré";10;10;26278,20;21278,02;-;-;5000,18;-;-;2627,82;2627,82;118;11,8;-;-
"220680 Nossa Senhora dos Remédios";19;19;16823,68;13147,68;-;-;3676,00;-;-;885,46;885,46;70;3,7;-;-
"220795 Nova Santa Rita";5;5;11469,51;9745,21;-;-;1724,30;-;-;2293,90;2293,90;36;7,2;-;-
"220690 Novo Oriente do Piauí";14;14;22301,45;19724,27;-;-;2577,18;-;-;1592,96;1592,96;90;6,4;1;7,14
"220695 Novo Santo Antônio";6;6;3415,54;2666,49;-;-;749,05;-;-;569,26;569,26;28;4,7;-;-
"220700 Oeiras";229;229;192914,36;160480,89;-;-;32433,47;-;-;842,42;842,42;927;4,0;5;2,18
"220710 Olho D'Água do Piauí";9;9;9199,64;6900,22;-;-;2299,42;-;-;1022,18;1022,18;47;5,2;-;-
"220720 Padre Marcos";5;5;2643,78;2421,79;-;-;221,99;-;-;528,76;528,76;19;3,8;-;-
"220730 Paes Landim";8;9;8934,03;7030,06;-;-;1903,97;-;-;992,67;1116,75;63;7,9;-;-
"220735 Pajeú do Piauí";7;7;5487,79;4293,04;-;-;1194,75;-;-;783,97;783,97;25;3,6;-;-
"220740 Palmeira do Piauí";9;9;3302,03;2648,28;-;-;653,75;-;-;366,89;366,89;25;2,8;1;11,11
"220750 Palmeirais";48;49;59514,31;44879,87;-;-;14634,44;-;-;1214,58;1239,88;268;5,6;3;6,25
"220755 Paquetá";3;3;1076,95;674,58;-;-;402,37;-;-;358,98;358,98;3;1,0;-;-
"220760 Parnaguá";124;124;65851,87;56256,86;-;-;9595,01;-;-;531,06;531,06;372;3,0;-;-
"220770 Parnaíba";654;655;697376,64;521156,00;-;-;176220,64;-;-;1064,70;1066,33;4505;6,9;30;4,59
"220775 Passagem Franca do Piauí";10;10;20174,98;17003,09;-;-;3171,89;-;-;2017,50;2017,50;79;7,9;-;-
"220777 Patos do Piauí";5;6;4810,66;4190,51;-;-;620,15;-;-;801,78;962,13;47;9,4;-;-
"220779 Pau D'Arco do Piauí";10;10;14276,86;10566,92;-;-;3709,94;-;-;1427,69;1427,69;28;2,8;-;-
"220780 Paulistana";52;52;39621,24;31298,04;-;-;8323,20;-;-;761,95;761,95;167;3,2;1;1,92
"220785 Pavussu";5;5;3074,55;2018,40;-;-;1056,15;-;-;614,91;614,91;10;2,0;-;-
"220790 Pedro II";165;166;118158,94;93685,27;-;-;24473,67;-;-;711,80;716,11;793;4,8;5;3,03
"220793 Pedro Laurentino";1;1;695,77;447,16;-;-;248,61;-;-;695,77;695,77;2;2,0;-;-
"220800 Picos";70;73;169910,94;140066,73;-;-;29844,21;-;-;2327,55;2427,30;553;7,9;5;7,14
"220810 Pimenteiras";25;25;30426,95;24224,07;-;-;6202,88;-;-;1217,08;1217,08;113;4,5;-;-
"220820 Pio IX";23;23;52893,63;43742,18;-;-;9151,45;-;-;2299,72;2299,72;168;7,3;1;4,35
"220830 Piracuruca";24;26;75235,93;62432,09;-;-;12803,84;-;-;2893,69;3134,83;243;10,1;2;8,33
"220840 Piripiri";76;76;145327,43;116659,06;-;-;28668,37;-;-;1912,20;1912,20;497;6,5;6;7,89
"220850 Porto";49;49;54402,32;42421,10;-;-;11981,22;-;-;1110,25;1110,25;190;3,9;1;2,04
"220855 Porto Alegre do Piauí";3;3;12429,71;9684,06;-;-;2745,65;-;-;4143,24;4143,24;8;2,7;-;-
"220860 Prata do Piauí";9;9;4198,56;2930,10;-;-;1268,46;-;-;466,51;466,51;36;4,0;1;11,11
"220865 Queimada Nova";11;11;6535,10;4958,13;-;-;1576,97;-;-;594,10;594,10;28;2,5;1;9,09
"220870 Redenção do Gurguéia";20;20;27329,32;22599,56;-;-;4729,76;-;-;1366,47;1366,47;66;3,3;-;-
"220880 Regeneração";101;103;46320,98;37712,78;-;-;8608,20;-;-;449,72;458,62;311;3,1;2;1,98
"220885 Riacho Frio";10;10;4487,72;3284,50;-;-;1203,22;-;-;448,77;448,77;32;3,2;1;10,00
"220887 Ribeira do Piauí";2;2;1229,82;807,36;-;-;422,46;-;-;614,91;614,91;4;2,0;-;-
"220890 Ribeiro Gonçalves";22;22;16287,91;13280,42;-;-;3007,49;-;-;740,36;740,36;63;2,9;1;4,55
"220910 Santa Cruz do Piauí";10;10;15321,93;12883,21;-;-;2438,72;-;-;1532,19;1532,19;48;4,8;-;-
"220915 Santa Cruz dos Milagres";9;9;35212,79;28162,49;-;-;7050,30;-;-;3912,53;3912,53;73;8,1;1;11,11
"220930 Santa Luz";15;15;61047,37;52681,92;-;-;8365,45;-;-;4069,82;4069,82;124;8,3;-;-
"220937 Santa Rosa do Piauí";6;6;9533,19;6265,55;-;-;3267,64;-;-;1588,87;1588,87;46;7,7;-;-
"220935 Santana do Piauí";1;1;779,60;650,96;-;-;128,64;-;-;779,60;779,60;1;1,0;-;-
"220940 Santo Antônio de Lisboa";3;3;2596,81;2201,03;-;-;395,78;-;-;865,60;865,60;38;12,7;-;-
"220945 Santo Antônio dos Milagres";4;4;2003,29;1110,15;-;-;893,14;-;-;500,82;500,82;7;1,8;-;-
"220950 Santo Inácio do Piauí";11;11;6426,37;4637,95;-;-;1788,42;-;-;584,22;584,22;48;4,4;-;-
"220955 São Braz do Piauí";24;24;12006,28;10546,41;-;-;1459,87;-;-;500,26;500,26;57;2,4;1;4,17
"220960 São Félix do Piauí";11;11;9010,36;7975,81;-;-;1034,55;-;-;819,12;819,12;33;3,0;1;9,09
"220965 São Francisco de Assis do Piauí";7;7;5510,76;4353,99;-;-;1156,77;-;-;787,25;787,25;27;3,9;1;14,29
"220970 São Francisco do Piauí";10;11;13779,75;11793,69;-;-;1986,06;-;-;1252,70;1377,97;57;5,7;1;10,00
"220975 São Gonçalo do Gurguéia";3;3;1395,39;867,28;-;-;528,11;-;-;465,13;465,13;6;2,0;-;-
"220980 São Gonçalo do Piauí";8;8;10284,92;7617,09;-;-;2667,83;-;-;1285,62;1285,62;46;5,8;-;-
"220985 São João da Canabrava";8;8;7077,93;5378,73;-;-;1699,20;-;-;884,74;884,74;31;3,9;-;-
"220987 São João da Fronteira";10;10;43860,98;36758,85;-;-;7102,13;-;-;4386,10;4386,10;97;9,7;-;-
"220990 São João da Serra";36;36;45256,83;36834,35;-;-;8422,48;-;-;1257,13;1257,13;164;4,6;-;-
"220995 São João da Varjota";14;14;18449,69;14908,27;-;-;3541,42;-;-;1317,84;1317,84;96;6,9;1;7,14
"220997 São João do Arraial";24;24;14994,83;10379,34;-;-;4615,49;-;-;624,78;624,78;60;2,5;1;4,17
"221000 São João do Piauí";13;14;37705,68;33155,11;-;-;4550,57;-;-;2693,26;2900,44;136;10,5;1;7,69
"221005 São José do Divino";4;4;3510,51;2573,08;-;-;937,43;-;-;877,63;877,63;36;9,0;-;-
"221020 São José do Piauí";5;5;3020,20;2237,74;-;-;782,46;-;-;604,04;604,04;10;2,0;1;20,00
"221030 São Julião";9;9;54904,96;51119,88;-;-;3785,08;-;-;6100,55;6100,55;75;8,3;-;-
"221035 São Lourenço do Piauí";25;25;12539,59;10570,58;-;-;1969,01;-;-;501,58;501,58;78;3,1;-;-
"221038 São Miguel da Baixa Grande";2;2;1401,06;922,09;-;-;478,97;-;-;700,53;700,53;5;2,5;-;-
"221039 São Miguel do Fidalgo";3;4;3718,61;3165,67;-;-;552,94;-;-;929,65;1239,54;39;13,0;-;-
"221040 São Miguel do Tapuio";44;46;42968,62;32493,15;-;-;10475,47;-;-;934,10;976,56;203;4,6;-;-
"221050 São Pedro do Piauí";28;28;22992,17;16557,12;-;-;6435,05;-;-;821,15;821,15;89;3,2;1;3,57
"221060 São Raimundo Nonato";522;524;354648,56;308178,74;-;-;46469,82;-;-;676,81;679,40;1701;3,3;5;0,96
"221062 Sebastião Barros";13;13;10194,31;7895,89;-;-;2298,42;-;-;784,18;784,18;51;3,9;-;-
"221063 Sebastião Leal";1;1;312,62;271,66;-;-;40,96;-;-;312,62;312,62;5;5,0;-;-
"221065 Sigefredo Pacheco";27;27;28692,33;22624,26;-;-;6068,07;-;-;1062,68;1062,68;120;4,4;-;-
"221070 Simões";110;110;81175,76;66529,19;-;-;14646,57;-;-;737,96;737,96;379;3,4;-;-
"221080 Simplício Mendes";27;29;30882,31;23086,44;-;-;7795,87;-;-;1064,91;1143,79;204;7,6;3;11,11
"221090 Socorro do Piauí";2;2;1772,85;1096,30;-;-;676,55;-;-;886,42;886,42;5;2,5;-;-
"221093 Sussuapara";6;6;16196,29;12484,12;-;-;3712,17;-;-;2699,38;2699,38;36;6,0;-;-
"221095 Tamboril do Piauí";10;10;5506,67;4465,78;-;-;1040,89;-;-;550,67;550,67;28;2,8;-;-
"221097 Tanque do Piauí";10;10;8174,20;7111,98;-;-;1062,22;-;-;817,42;817,42;81;8,1;3;30,00
"221100 Teresina";3815;3862;5326598,11;4305082,92;-;-;1021515,19;-;-;1379,23;1396,22;22307;5,8;202;5,29
"221110 União";164;165;200822,33;158966,84;-;-;41855,49;-;-;1217,11;1224,53;724;4,4;8;4,88
"221120 Uruçuí";82;83;77202,14;60944,81;-;-;16257,33;-;-;930,15;941,49;259;3,2;2;2,44
"221130 Valença do Piauí";96;96;125037,06;102370,98;-;-;22666,08;-;-;1302,47;1302,47;523;5,4;4;4,17
"221135 Várzea Branca";20;20;10734,13;8667,82;-;-;2066,31;-;-;536,71;536,71;45;2,3;-;-
"221140 Várzea Grande";7;7;6266,25;4090,99;-;-;2175,26;-;-;895,18;895,18;19;2,7;-;-
"221150 Vera Mendes";3;3;14127,69;10029,16;-;-;4098,53;-;-;4709,23;4709,23;25;8,3;-;-
"221160 Vila Nova do Piauí";5;5;4439,93;3823,10;-;-;616,83;-;-;887,99;887,99;16;3,2;-;-
"221170 Wall Ferraz";29;29;17181,21;14127,66;-;-;3053,55;-;-;592,46;592,46;79;2,7;-;-
"230010 Abaiara";15;15;21043,79;16599,43;-;-;4444,36;-;-;1402,92;1402,92;40;2,7;3;20,00
"230015 Acarape";44;44;60966,83;50371,92;-;-;10594,91;-;-;1385,61;1385,61;183;4,2;2;4,55
"230020 Acaraú";64;64;165484,77;130243,90;-;-;35240,87;-;-;2585,70;2585,70;554;8,7;5;7,81
"230030 Acopiara";104;104;154118,57;116278,45;-;-;37840,12;-;-;1481,91;1481,91;425;4,1;2;1,92
"230040 Aiuaba";9;9;14623,05;10374,70;-;-;4248,35;-;-;1624,78;1624,78;95;10,6;1;11,11
"230050 Alcântaras";18;18;26062,75;19153,50;-;-;6909,25;-;-;1447,93;1447,93;61;3,4;-;-
"230060 Altaneira";18;18;11775,45;8281,50;-;-;3493,95;-;-;654,19;654,19;72;4,0;1;5,56
"230070 Alto Santo";64;64;69452,09;56674,06;-;-;12778,03;-;-;1085,19;1085,19;252;3,9;3;4,69
"230075 Amontada";85;85;79182,04;57633,46;-;-;21548,58;-;-;931,55;931,55;372;4,4;2;2,35
"230080 Antonina do Norte";17;17;8823,32;6346,70;-;-;2476,62;-;-;519,02;519,02;60;3,5;-;-
"230090 Apuiarés";49;49;64323,99;48795,53;-;-;15528,46;-;-;1312,73;1312,73;261;5,3;3;6,12
"230100 Aquiraz";263;267;319287,55;245235,79;-;-;74051,76;-;-;1195,83;1214,02;1479;5,6;13;4,94
"230110 Aracati";296;297;331307,07;258191,27;-;-;73115,80;-;-;1115,51;1119,28;1368;4,6;22;7,43
"230120 Aracoiaba";35;36;49216,37;40784,33;-;-;8432,04;-;-;1367,12;1406,18;207;5,9;4;11,43
"230125 Ararendá";31;31;25149,81;16598,97;-;-;8550,84;-;-;811,28;811,28;115;3,7;-;-
"230130 Araripe";102;102;76527,65;58143,98;-;-;18383,67;-;-;750,27;750,27;376;3,7;-;-
"230140 Aratuba";28;28;45161,05;34752,99;-;-;10408,06;-;-;1612,89;1612,89;231;8,3;1;3,57
"230150 Arneiroz";8;8;24706,48;18908,42;-;-;5798,06;-;-;3088,31;3088,31;95;11,9;1;12,50
"230160 Assaré";72;72;71588,31;52066,79;-;-;19521,52;-;-;994,28;994,28;241;3,3;2;2,78
"230170 Aurora";98;99;71486,79;56707,47;-;-;14779,32;-;-;722,09;729,46;374;3,8;2;2,04
"230180 Baixio";8;8;8264,94;5900,61;-;-;2364,33;-;-;1033,12;1033,12;33;4,1;-;-
"230185 Banabuiú";42;43;22334,46;15942,52;-;-;6391,94;-;-;519,41;531,77;125;3,0;-;-
"230190 Barbalha";9;10;25962,85;20210,27;-;-;5752,58;-;-;2596,29;2884,76;107;11,9;2;22,22
"230195 Barreira";61;62;130919,22;99262,56;-;-;31656,66;-;-;2111,60;2146,22;408;6,7;4;6,56
"230200 Barro";48;48;55745,34;44978,07;-;-;10767,27;-;-;1161,36;1161,36;154;3,2;4;8,33
"230205 Barroquinha";9;9;7808,69;5307,57;-;-;2501,12;-;-;867,63;867,63;13;1,4;-;-
"230210 Baturité";46;46;91944,00;75381,35;-;-;16562,65;-;-;1998,78;1998,78;379;8,2;4;8,70
"230220 Beberibe";119;121;229517,13;167742,47;-;-;61774,66;-;-;1896,84;1928,72;1091;9,2;3;2,52
"230230 Bela Cruz";74;74;145006,99;110829,45;191,10;-;33861,60;-;-;1959,55;1959,55;333;4,5;2;2,70
"230240 Boa Viagem";149;152;182745,04;147806,71;-;-;34938,33;-;-;1202,27;1226,48;685;4,6;9;6,04
"230250 Brejo Santo";279;280;333255,12;273846,46;-;-;59408,66;-;-;1190,20;1194,46;905;3,2;20;7,17
"230260 Camocim";36;36;106175,07;87421,88;-;-;18753,19;-;-;2949,31;2949,31;232;6,4;4;11,11
"230270 Campos Sales";75;76;84733,47;65058,33;-;-;19675,14;-;-;1114,91;1129,78;221;2,9;1;1,33
"230280 Canindé";185;185;198394,29;151211,74;-;-;47182,55;-;-;1072,40;1072,40;840;4,5;11;5,95
"230290 Capistrano";34;34;55641,42;45613,49;-;-;10027,93;-;-;1636,51;1636,51;176;5,2;-;-
